feature,cover,gain,weight
test0_static_spiral_pressure_power_ratio_3_8hz,3.033576011657715,2.3094844818115234,5.0
test0_static_spiral_grip_angle_circular_concentration,3.041250228881836,2.2856853008270264,3.0
test1_dynamic_spiral_acceleration_iqr,3.032146453857422,2.1455860137939453,10.0
test0_static_spiral_curvature_median,2.236143112182617,1.9609105587005615,2.0
test1_dynamic_spiral_curvature_median,3.450190544128418,1.9271998405456543,1.0
test0_static_spiral_pressure_p90_p10,2.6354000568389893,1.8415132761001587,10.0
test1_dynamic_spiral_pressure_power_ratio_3_8hz,2.648881435394287,1.808739423751831,44.0
test0_static_spiral_z_rate_abs_mean,3.023738145828247,1.8080105781555176,1.0
test0_static_spiral_stationary_ratio,3.2549889087677,1.786733627319336,1.0
test1_dynamic_spiral_speed_iqr,2.7936463356018066,1.7850505113601685,13.0
test1_dynamic_spiral_speed_robust_cv,2.5233333110809326,1.5807827711105347,27.0
test1_dynamic_spiral_pressure_power_ratio_4_6hz,2.861180543899536,1.5058420896530151,5.0
test1_dynamic_spiral_speed_p90,3.006145477294922,1.4097280502319336,4.0
test1_dynamic_spiral_acceleration_rms,2.935417890548706,1.3822705745697021,2.0
test1_dynamic_spiral_pressure_rate_iqr,2.754873752593994,1.179945707321167,5.0
test1_dynamic_spiral_pressure_spectral_entropy_1_25hz,2.26938533782959,1.169458270072937,9.0
test0_static_spiral_acceleration_iqr,2.1789278984069824,0.8464051485061646,2.0
test0_static_spiral_motion_peak_frequency_3_8hz,2.319523572921753,0.7743763327598572,1.0
test0_static_spiral_speed_robust_cv,1.8883326053619385,0.7572755217552185,19.0
test1_dynamic_spiral_duration_seconds,2.432523488998413,0.5523364543914795,1.0
test0_static_spiral_motion_power_ratio_3_8hz,2.0766587257385254,0.5159249901771545,4.0
test0_static_spiral_pressure_robust_cv,1.6002618074417114,0.45304402709007263,11.0
test0_static_spiral_pressure_iqr,1.5763965845108032,0.4107148051261902,2.0
test0_static_spiral_pressure_power_ratio_4_6hz,1.8311269283294678,0.4059525430202484,21.0
test0_static_spiral_path_length,1.735579252243042,0.4056199789047241,4.0
test1_dynamic_spiral_motion_power_ratio_4_6hz,1.740814208984375,0.3701866567134857,2.0
test0_static_spiral_jerk_iqr,1.5989055633544922,0.3231598734855652,2.0
test1_dynamic_spiral_pressure_iqr,1.516096591949463,0.31441301107406616,1.0
test1_dynamic_spiral_jerk_rms,1.8638272285461426,0.3073681592941284,2.0
test1_dynamic_spiral_path_length,2.095104455947876,0.28754469752311707,3.0
test0_static_spiral_turn_rate_iqr,2.0358705520629883,0.286234974861145,1.0
test0_static_spiral_pressure_spectral_entropy_1_25hz,1.211678147315979,0.26926368474960327,5.0
test0_static_spiral_pressure_peak_frequency_3_8hz,1.3827804327011108,0.234986811876297,9.0
test1_dynamic_spiral_stationary_ratio,1.342805027961731,0.22114191949367523,3.0
test1_dynamic_spiral_pressure_p90_p10,1.2528798580169678,0.21706099808216095,12.0
test0_static_spiral_jerk_rms,1.468003273010254,0.2124614417552948,1.0
test1_dynamic_spiral_grip_angle_circular_std,1.113325834274292,0.18808995187282562,1.0
test0_static_spiral_grip_angle_rate_abs_mean,2.547478675842285,0.15258848667144775,2.0
test1_dynamic_spiral_grip_angle_rate_iqr,1.1260061264038086,0.1292223483324051,2.0
test1_dynamic_spiral_pressure_rate_abs_mean,1.1183993816375732,0.10977877676486969,5.0
test0_static_spiral_pressure_rate_abs_mean,1.9692741632461548,0.10889410972595215,1.0
test1_dynamic_spiral_motion_power_ratio_3_8hz,1.0766066312789917,0.0969952642917633,1.0
test1_dynamic_spiral_pressure_median,1.1937611103057861,0.09580698609352112,1.0
test1_dynamic_spiral_pressure_peak_frequency_3_8hz,3.0677592754364014,0.06823325157165527,1.0
test1_dynamic_spiral_motion_peak_frequency_3_8hz,1.2568575143814087,0.05342623591423035,1.0
